date,time,rain
25-03-2020,03:00,0
25-03-2020,03:10,0.6
25-03-2020,03:20,0
25-03-2020,03:30,0.6
25-03-2020,03:40,0
25-03-2020,03:50,0.6
25-03-2020,04:00,0.6
25-03-2020,04:10,0.6
25-03-2020,04:20,1.2
25-03-2020,04:30,0.6
25-03-2020,04:40,1.8
25-03-2020,04:50,1.2
25-03-2020,05:00,2.4
25-03-2020,05:10,0.6
25-03-2020,05:20,1.2
25-03-2020,05:30,1.2
25-03-2020,05:40,0.6
25-03-2020,05:50,1.8
25-03-2020,06:00,1.8
25-03-2020,06:10,2.4
25-03-2020,06:20,4.8
25-03-2020,06:30,5.4
25-03-2020,06:40,27.
25-03-2020,06:50,4.5
25-03-2020,07:00,1.2
25-03-2020,07:10,0.6
25-03-2020,07:20,0
25-03-2020,07:30,1.2
25-03-2020,07:40,2.4
25-03-2020,07:50,21.2
25-03-2020,08:00,24.2
